,NAME,comorb,Proportion,Year
31,New Hampshire,3,17.94871795,2010
31,New Hampshire,4,47.05882353,2010
31,New Hampshire,5,36,2010
32,New Jersey,1,17.78425656,2010
32,New Jersey,2,16.96428571,2010
32,New Jersey,3,22.32142857,2010
32,New Jersey,4,25,2010
32,New Jersey,5,45.76271186,2010
33,New Mexico,1,18.92655367,2010
33,New Mexico,2,18.8,2010
33,New Mexico,3,20.51282051,2010
33,New Mexico,4,44.44444444,2010
33,New Mexico,5,52.77777778,2010
34,Nevada,1,18.98016997,2010
34,Nevada,2,24.56140351,2010
34,Nevada,3,32.03883495,2010
34,Nevada,4,45.45454545,2010
34,Nevada,5,60.46511628,2010
35,New York ,1,15.18324607,2010
35,New York ,2,16.03375527,2010
35,New York ,3,25.37313433,2010
35,New York ,4,27.08333333,2010
35,New York ,5,28.57142857,2010
36,Ohio,1,12.4668435,2010
36,Ohio,2,12.6984127,2010
36,Ohio,3,17.30769231,2010
36,Ohio,4,25.64102564,2010
36,Ohio,5,30,2010
37,Oklahoma,1,13.33333333,2010
37,Oklahoma,2,15.2,2010
37,Oklahoma,3,22.13114754,2010
37,Oklahoma,4,36.53846154,2010
37,Oklahoma,5,51.42857143,2010
38,Oregon,1,18.26923077,2010
38,Oregon,2,23.26732673,2010
38,Oregon,3,31.03448276,2010
38,Oregon,4,44.82758621,2010
38,Oregon,5,48.64864865,2010
39,Pennsylvania,1,9.523809524,2010
39,Pennsylvania,2,9.958506224,2010
39,Pennsylvania,3,16.36363636,2010
39,Pennsylvania,4,28.57142857,2010
39,Pennsylvania,5,35.71428571,2010
40,Rhode Island,1,10.78717201,2010
40,Rhode Island,2,10.40723982,2010
40,Rhode Island,3,19.16666667,2010
40,Rhode Island,4,29.54545455,2010
40,Rhode Island,5,39.47368421,2010
41,South Carolina,1,14.62765957,2010
41,South Carolina,2,15.78947368,2010
41,South Carolina,3,10.47619048,2010
41,South Carolina,4,30.76923077,2010
41,South Carolina,5,36.58536585,2010
42,South Dakota,1,12.03007519,2010
42,South Dakota,2,18.71921182,2010
42,South Dakota,3,17.47572816,2010
42,South Dakota,4,27.77777778,2010
42,South Dakota,5,40,2010
43,Tennessee,1,10.51282051,2010
43,Tennessee,2,11.29707113,2010
43,Tennessee,3,17.27272727,2010
43,Tennessee,4,31.81818182,2010
43,Tennessee,5,47.91666667,2010
44,Texas,1,13.98416887,2010
44,Texas,2,15.73033708,2010
44,Texas,3,30.25210084,2010
